Class,Accuracy,Samples_Train,Samples_Test
Class 0,87.9%,2897,952
Class 1,87.9%,2798,905
Class 2,85.2%,2783,1015
Class 3,94.4%,3493,1282
Class 4,80.4%,1448,515
Class 5,89.4%,2279,1011
Class 6,84.2%,2591,1172
Class 7,78.5%,1766,580
Class 8,82.7%,1601,498
Class 9,81.4%,2607,900
Class 10,86.0%,3537,1237
Class 11,77.3%,547,441
